Chance of Admit,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research
0.920882523059845,1,337,118,4,4.5,4.5,9.65,1
0.7534269690513611,2,324,107,4,4.0,4.5,8.87,1
0.7171261310577393,3,316,104,3,3.0,3.5,8.0,1
0.7934346795082092,4,322,110,3,3.5,2.5,8.67,1
0.6445451974868774,5,314,103,2,2.0,3.0,8.21,0
0.9001007676124573,6,330,115,5,4.5,3.0,9.34,1
0.7442178130149841,7,321,109,3,3.0,4.0,8.2,1
0.5643225908279419,8,308,101,2,3.0,4.0,7.9,0
0.5023050308227539,9,302,102,1,2.0,1.5,8.0,0
0.45743852853775024,10,323,108,3,3.5,3.0,8.6,0
0.5368497967720032,11,325,106,3,3.5,4.0,8.4,1
0.7324535250663757,12,327,111,4,4.0,4.5,9.0,1
0.7801324725151062,13,328,112,4,4.0,4.5,9.1,1
0.6181514859199524,14,307,109,3,4.0,3.0,8.0,1
0.6088945269584656,15,311,104,3,3.5,2.0,8.2,1
0.5541286468505859,16,314,105,3,3.5,2.5,8.3,0
0.653136670589447,17,317,107,3,4.0,3.0,8.7,0
0.6518922448158264,18,319,106,3,4.0,3.0,8.0,1
0.6356363892555237,19,318,110,3,4.0,3.0,8.8,0
0.6171745657920837,20,303,102,3,3.5,3.0,8.5,0
0.6350115537643433,21,312,107,3,3.0,2.0,7.9,1
0.697825014591217,22,325,114,4,3.0,2.0,8.4,0
0.9364652633666992,23,328,116,5,5.0,5.0,9.5,1
0.9503138661384583,24,334,119,5,5.0,4.5,9.7,1
0.9658792614936829,25,336,119,5,4.0,3.5,9.8,1
0.9420276880264282,26,340,120,5,4.5,4.5,9.6,1
0.7596340775489807,27,322,109,5,4.5,3.5,8.8,0
0.44322866201400757,28,298,98,2,1.5,2.5,7.5,1
0.46042001247406006,29,295,93,1,2.0,2.0,7.2,0
0.5399647355079651,30,310,99,2,1.5,2.0,7.3,0
0.6448923349380493,31,300,97,2,3.0,3.0,8.1,1
0.7262815237045288,32,327,103,3,4.0,4.0,8.3,1
0.9105362892150879,33,338,118,4,3.0,4.5,9.4,1
0.9414199590682983,34,340,114,5,4.0,4.0,9.6,1
0.9450973868370056,35,331,112,5,4.0,5.0,9.8,1
0.9017172455787659,36,320,110,5,5.0,5.0,9.2,1
0.6396752595901489,37,299,106,2,4.0,4.0,8.4,0
0.576331615447998,38,300,105,1,1.0,2.0,7.8,0
0.5153714418411255,39,304,105,1,3.0,1.5,7.5,0
0.4832596480846405,40,307,108,2,4.0,3.5,7.7,0
0.4830600321292877,41,308,110,3,3.5,3.0,8.0,1
0.4966196119785309,42,316,105,2,2.5,2.5,8.2,1
0.5310834646224976,43,313,107,2,2.5,2.0,8.5,1
0.8266980648040771,44,332,117,4,4.5,4.0,9.1,0
0.9056730270385742,45,326,113,5,4.5,4.0,9.4,1
0.8779757022857666,46,322,110,5,5.0,4.0,9.1,1
0.8735440373420715,47,329,114,5,4.0,5.0,9.3,1
0.8928053379058838,48,339,119,5,4.5,4.0,9.7,0
0.8068994283676147,49,321,110,3,3.5,5.0,8.85,1
0.7730590105056763,50,327,111,4,3.0,4.0,8.4,1
0.5873050689697266,51,313,98,3,2.5,4.5,8.3,1
0.5665016174316406,52,312,100,2,1.5,3.5,7.9,1
0.6828168630599976,53,334,116,4,4.0,3.0,8.0,1
0.6112565994262695,54,324,112,4,4.0,2.5,8.1,1
0.6965822577476501,55,322,110,3,3.0,3.5,8.0,0
0.5703209638595581,56,320,103,3,3.0,3.0,7.7,0
0.6330187916755676,57,316,102,3,2.0,3.0,7.4,0
0.456493616104126,58,298,99,2,4.0,2.0,7.6,0
0.36760762333869934,59,300,99,1,3.0,2.0,6.8,1
0.44211673736572266,60,311,104,2,2.0,2.0,8.3,0
0.4834190011024475,61,309,100,2,3.0,3.0,8.1,0
0.46913644671440125,62,307,101,3,4.0,3.0,8.2,0
0.5343965888023376,63,304,105,2,3.0,3.0,8.2,1
0.5554884076118469,64,315,107,2,4.0,3.0,8.5,1
0.5280978083610535,65,325,111,3,3.0,3.5,8.7,0
0.555812656879425,66,325,112,4,3.5,3.5,8.92,0
0.6069393157958984,67,327,114,3,3.0,3.0,9.02,0
0.6806765794754028,68,316,107,2,3.5,3.5,8.64,1
0.6839985847473145,69,318,109,3,3.5,4.0,9.22,1
0.8239388465881348,70,328,115,4,4.5,4.0,9.16,1
0.9412737488746643,71,332,118,5,5.0,5.0,9.64,1
0.9591819643974304,72,336,112,5,5.0,5.0,9.76,1
0.9283839464187622,73,321,111,5,5.0,5.0,9.45,1
0.7874062061309814,74,314,108,4,4.5,4.0,9.04,1
0.7430688142776489,75,314,106,3,3.0,5.0,8.9,0
0.7193709015846252,76,329,114,2,2.0,4.0,8.56,1
0.7457278966903687,77,327,112,3,3.0,3.0,8.72,1
0.6296552419662476,78,301,99,2,3.0,2.0,8.22,0
0.4407300353050232,79,296,95,2,3.0,2.0,7.54,1
0.4585358500480652,80,294,93,1,1.5,2.0,7.36,0
0.6190400123596191,81,312,105,3,2.0,3.0,8.02,1
0.9586853384971619,82,340,120,4,5.0,5.0,9.5,1
0.9118160605430603,83,320,110,5,5.0,4.5,9.22,1
0.9152464866638184,84,322,115,5,4.0,4.5,9.36,1
0.9385077357292175,85,340,115,5,4.5,4.5,9.45,1
0.7401252388954163,86,319,103,4,4.5,3.5,8.66,0
0.7098172903060913,87,315,106,3,4.5,3.5,8.42,0
0.652636706829071,88,317,107,2,3.5,3.0,8.28,0
0.7006562352180481,89,314,108,3,4.5,3.5,8.14,0
0.7415884137153625,90,316,109,4,4.5,3.5,8.76,1
0.6404921412467957,91,318,106,2,4.0,4.0,7.92,1
0.3808515965938568,92,299,97,3,5.0,3.5,7.66,0
0.35762178897857666,93,298,98,2,4.0,3.0,8.03,0
0.44158104062080383,94,301,97,2,3.0,3.0,7.88,1
0.3708774149417877,95,303,99,3,2.0,2.5,7.66,0
0.4140339493751526,96,304,100,4,1.5,2.5,7.84,0
0.4815177619457245,97,306,100,2,3.0,3.0,8.0,0
0.8480597734451294,98,331,120,3,4.0,4.0,8.96,1
0.9025629758834839,99,332,119,4,5.0,4.5,9.24,1
0.7949990034103394,100,323,113,3,4.0,4.0,8.88,1
0.7051524519920349,101,322,107,3,3.5,3.5,8.46,1
0.6260135769844055,102,312,105,2,2.5,3.0,8.12,0
0.6192483305931091,103,314,106,2,4.0,3.5,8.25,0
0.5797159671783447,104,317,104,2,4.5,4.0,8.47,0
0.7743093967437744,105,326,112,3,3.5,3.0,9.05,1
0.7046666741371155,106,316,110,3,4.0,4.5,8.78,1
0.8646673560142517,107,329,111,4,4.5,4.5,9.18,1
0.9112842082977295,108,338,117,4,3.5,4.5,9.46,1
0.9311080574989319,109,331,116,5,5.0,5.0,9.38,1
0.680840790271759,110,304,103,5,5.0,4.0,8.64,0
0.6063055396080017,111,305,108,5,3.0,3.0,8.48,0
0.7095879912376404,112,321,109,4,4.0,4.0,8.68,1
0.6130530834197998,113,301,107,3,3.5,3.5,8.34,1
0.6291928291320801,114,320,110,2,4.0,3.5,8.56,0
0.5945006012916565,115,311,105,3,3.5,3.0,8.45,1
0.7690668702125549,116,310,106,4,4.5,4.5,9.04,1
0.5401757955551147,117,299,102,3,4.0,3.5,8.62,0
0.4473281800746918,118,290,104,4,2.0,2.5,7.46,0
0.5246068835258484,119,296,99,2,3.0,3.5,7.28,0
0.7142566442489624,120,327,104,5,3.0,3.5,8.84,1
0.9404681921005249,121,335,117,5,5.0,5.0,9.56,1
0.9355365633964539,122,334,119,5,4.5,4.5,9.48,1
0.5755846500396729,123,310,106,4,1.5,2.5,8.36,0
0.6094341278076172,124,308,108,3,3.5,3.5,8.22,0
0.5804727077484131,125,301,106,4,2.5,3.0,8.47,0
0.6412628889083862,126,300,100,3,2.0,3.0,8.66,1
0.8763638734817505,127,323,113,3,4.0,3.0,9.32,1
0.7024984359741211,128,319,112,3,2.5,2.0,8.71,1
0.8346599340438843,129,326,112,3,3.5,3.0,9.1,1
0.9269228577613831,130,333,118,5,5.0,5.0,9.35,1
0.955126941204071,131,339,114,5,4.0,4.5,9.76,1
0.7672136425971985,132,303,105,5,5.0,4.5,8.65,0
0.71424400806427,133,309,105,5,3.5,3.5,8.56,0
0.7937117218971252,134,323,112,5,4.0,4.5,8.78,0
0.9222627282142639,135,333,113,5,4.0,4.0,9.28,1
0.8002625703811646,136,314,109,4,3.5,4.0,8.77,1
0.7578265070915222,137,312,103,3,5.0,4.0,8.45,0
0.7054612636566162,138,316,100,2,1.5,3.0,8.16,1
0.8088345527648926,139,326,116,2,4.5,3.0,9.08,1
0.7965959906578064,140,318,109,1,3.5,3.5,9.12,0
0.8111143708229065,141,329,110,2,4.0,3.0,9.15,1
0.9018393754959106,142,332,118,2,4.5,3.5,9.36,1
0.9306740164756775,143,331,115,5,4.0,3.5,9.44,1
0.9688562750816345,144,340,120,4,4.5,4.0,9.92,1
0.7990145683288574,145,325,112,2,3.0,3.5,8.96,1
0.8076424598693848,146,320,113,2,2.0,2.5,8.64,1
0.7345613241195679,147,315,105,3,2.0,2.5,8.48,0
0.834962785243988,148,326,114,3,3.0,3.0,9.11,1
0.9592987298965454,149,339,116,4,4.0,3.5,9.8,1
0.7726060748100281,150,311,106,2,3.5,3.0,8.26,1
0.9292939305305481,151,334,114,4,4.0,4.0,9.43,1
0.9320952892303467,152,332,116,5,5.0,5.0,9.28,1
0.8694628477096558,153,321,112,5,5.0,5.0,9.06,1
